source_schema,source_table,source_column,target_schema,target_table,target_column,transformation_type,transformation_logic
landing,sample_sales,sale_date,bronze,sample_sales,sale_date,copy,source_column
landing,sample_sales,product_id,bronze,sample_sales,product_id,copy,source_column
landing,sample_sales,product_name,bronze,sample_sales,product_name,copy,source_column
landing,sample_sales,category,bronze,sample_sales,category,copy,source_column
landing,sample_sales,store_id,bronze,sample_sales,store_id,copy,source_column
landing,sample_sales,store_name,bronze,sample_sales,store_name,copy,source_column
landing,sample_sales,quantity,bronze,sample_sales,quantity,copy,source_column
landing,sample_sales,unit_price,bronze,sample_sales,unit_price,copy,source_column
landing,sample_sales,total_amount,bronze,sample_sales,total_amount,copy,source_column
